,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Tura,90,IN,96,25.5198,90.2201,71.91,4.07
1,Kyshtovka,100,RU,81,56.555,76.6271,47.12,12.86
2,Mount Gambier,100,AU,54,-37.8333,140.7667,56.39,12.17
3,New Norfolk,8,AU,74,-42.7826,147.0587,46.71,1.81
4,Rikitea,0,PF,74,-23.1203,-134.9692,71.67,10.47
5,Mataura,98,NZ,94,-46.1927,168.8643,46.94,7.78
6,Carnarvon,100,AU,66,-24.8667,113.6333,64.24,21.47
7,Arraial Do Cabo,40,BR,78,-22.9661,-42.0278,76.86,5.75
8,Saskylakh,69,RU,94,71.9167,114.0833,10.08,9.37
9,Junction City,0,US,33,39.0286,-96.8314,81.14,3.44
10,Zavetnoye,83,RU,84,47.1194,43.8903,59.27,11.97
11,Bredasdorp,99,ZA,67,-34.5322,20.0403,65.28,5.28
12,Madera,0,US,23,37.1666,-119.8343,94.87,4.0
13,Hasaki,100,JP,71,35.7333,140.8333,75.22,28.72
14,Punta Arenas,40,CL,50,-53.15,-70.9167,51.91,31.07
15,Yulara,100,AU,24,-25.2406,130.9889,68.99,7.56
16,Albany,84,US,66,42.6001,-73.9662,59.4,8.61
17,Kapaa,100,US,79,22.0752,-159.319,80.1,1.01
18,Khani,100,GE,98,41.9563,42.9566,53.17,4.27
19,Fare,4,PF,75,-16.7,-151.0167,77.72,18.43
20,Georgetown,20,MY,83,5.4112,100.3354,81.23,0.0
21,Eyl,20,SO,83,7.9803,49.8164,78.1,17.9
22,Port Alfred,98,ZA,86,-33.5906,26.891,68.18,7.0
23,San Cristobal,100,VE,48,7.7669,-72.225,82.58,7.09
24,Tanout,0,NE,15,14.9709,8.8879,90.64,9.98
25,Husavik,84,IS,83,66.0449,-17.3389,26.29,6.58
26,Yellowknife,75,CA,58,62.456,-114.3525,55.92,10.36
27,Crestview,0,US,29,30.7621,-86.5705,81.64,13.8
28,Rocha,57,UY,54,-34.4833,-54.3333,57.76,11.7
29,Avarua,75,CK,78,-21.2078,-159.775,73.45,20.71
30,Suntar,100,RU,98,62.1444,117.6319,28.08,1.36
31,Iqaluit,75,CA,79,63.7506,-68.5145,28.13,13.8
32,Luganville,100,VU,85,-15.5333,167.1667,77.02,5.79
33,Barrow,76,US,88,71.2906,-156.7887,26.67,17.78
34,Ulaanbaatar,0,MN,73,47.9077,106.8832,19.53,2.24
35,Atuona,33,PF,68,-9.8,-139.0333,76.59,17.22
36,Lesnoy,100,RU,69,57.6198,63.0784,52.29,10.6
37,Isakly,100,RU,54,54.1333,51.5333,51.82,4.36
38,Leningradskiy,100,RU,70,69.3833,178.4167,20.61,20.83
39,Cape Town,0,ZA,67,-33.9258,18.4232,72.37,2.3
40,Hobart,100,AU,93,-42.8794,147.3294,47.05,6.91
41,Mandurah,23,AU,71,-32.55,115.7,51.46,10.27
42,Kutum,100,SD,24,14.2,24.6667,81.48,6.87
43,Hearst,86,CA,49,49.6835,-83.6665,50.25,10.07
44,Khatanga,56,RU,98,71.9667,102.5,3.54,3.53
45,Mar Del Plata,0,AR,72,-38.0023,-57.5575,55.94,20.0
46,Mahajanga,0,MG,78,-15.7167,46.3167,75.22,2.3
47,Qaanaaq,16,GL,63,77.484,-69.3632,7.7,7.81
48,Porbandar,29,IN,70,21.6422,69.6093,82.98,6.26
49,Bluff,84,NZ,76,-46.6,168.3333,48.7,20.27
50,Kodiak,100,US,90,57.79,-152.4072,47.97,11.88
51,Pangnirtung,75,CA,59,66.1451,-65.7125,30.2,0.0
52,Tiksi,100,RU,83,71.6872,128.8694,13.84,14.16
53,Hermanus,100,ZA,55,-34.4187,19.2345,72.81,9.28
54,Gombe,97,NG,49,10.2897,11.1673,81.34,5.66
55,Ushuaia,40,AR,50,-54.8,-68.3,51.46,17.27
56,Mildura,100,AU,63,-34.2,142.15,54.07,11.74
